"","#","N","a","b","cp","d","g","h","NT"
"337","ExpM_cond337","100","0","0.14","0.14","0.3","0","0","0"
"338","ExpM_cond338","100","0","0.14","0.14","0.3","0","0.14","0"
"339","ExpM_cond339","100","0","0.14","0.14","0.3","0.14","0","0"
"340","ExpM_cond340","100","0","0.14","0.14","0.3","0.14","0.14","0"
"341","ExpM_cond341","100","0","0.14","0.14","0.5","0","0","0"
"342","ExpM_cond342","100","0","0.14","0.14","0.5","0","0.14","0"
"343","ExpM_cond343","100","0","0.14","0.14","0.5","0.14","0","0"
"344","ExpM_cond344","100","0","0.14","0.14","0.5","0.14","0.14","0"
"345","ExpM_cond345","100","0","0.14","0.14","0.8","0","0","0"
"346","ExpM_cond346","100","0","0.14","0.14","0.8","0","0.14","0"
"347","ExpM_cond347","100","0","0.14","0.14","0.8","0.14","0","0"
"348","ExpM_cond348","100","0","0.14","0.14","0.8","0.14","0.14","0"
"349","ExpM_cond349","100","0","0.39","0.14","0.3","0","0","0"
"350","ExpM_cond350","100","0","0.39","0.14","0.3","0","0.14","0"
"351","ExpM_cond351","100","0","0.39","0.14","0.3","0.14","0","0"
"352","ExpM_cond352","100","0","0.39","0.14","0.3","0.14","0.14","0"
"353","ExpM_cond353","100","0","0.39","0.14","0.5","0","0","0"
"354","ExpM_cond354","100","0","0.39","0.14","0.5","0","0.14","0"
"355","ExpM_cond355","100","0","0.39","0.14","0.5","0.14","0","0"
"356","ExpM_cond356","100","0","0.39","0.14","0.5","0.14","0.14","0"
"357","ExpM_cond357","100","0","0.39","0.14","0.8","0","0","0"
"358","ExpM_cond358","100","0","0.39","0.14","0.8","0","0.14","0"
"359","ExpM_cond359","100","0","0.39","0.14","0.8","0.14","0","0"
"360","ExpM_cond360","100","0","0.39","0.14","0.8","0.14","0.14","0"
"361","ExpM_cond361","100","0.14","0","0.14","0.3","0","0","0"
"362","ExpM_cond362","100","0.14","0","0.14","0.3","0","0.14","0"
"363","ExpM_cond363","100","0.14","0","0.14","0.3","0.14","0","0"
"364","ExpM_cond364","100","0.14","0","0.14","0.3","0.14","0.14","0"
"365","ExpM_cond365","100","0.14","0","0.14","0.5","0","0","0"
"366","ExpM_cond366","100","0.14","0","0.14","0.5","0","0.14","0"
"367","ExpM_cond367","100","0.14","0","0.14","0.5","0.14","0","0"
"368","ExpM_cond368","100","0.14","0","0.14","0.5","0.14","0.14","0"
"369","ExpM_cond369","100","0.14","0","0.14","0.8","0","0","0"
"370","ExpM_cond370","100","0.14","0","0.14","0.8","0","0.14","0"
